Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS
Layún,WAT,DEF,9,1,0,131,0,0,0,0,0,0,0
Lee Cattermole,SUN,MID,53,0,0,2210,0,8,0,0,0,0,7
Leighton Baines,EVE,DEF,67,2,2,1479,0,0,0,0,0,7,4
Leiva Lucas,LIV,MID,49,0,1,1954,0,8,0,0,0,2,4
Leon Britton,SWA,MID,46,0,1,1522,0,4,0,0,0,2,3
Leonardo Ulloa,LEI,FWD,74,6,2,984,0,0,0,0,0,9,3
Leroy Fer,SWA,MID,24,0,2,756,0,2,0,0,0,0,2
Lewis Grabban,BOU,FWD,30,1,0,827,0,2,0,0,0,1,0
Loïc Remy,CHE,FWD,24,1,1,291,0,0,0,0,0,2,0
Lukasz Fabianski,SWA,GK,123,0,1,3330,0,1,114,0,0,4,9
Luke Shaw,MUN,DEF,27,0,1,450,0,1,0,0,0,4,3
Lyden,AVL,MID,5,0,0,153,0,0,0,0,0,0,0
M'Vila,SUN,MID,108,1,6,3187,0,1,0,0,0,7,7
Maarten Stekelenburg,SOU,GK,57,0,0,1530,0,0,30,0,0,0,6
Maiga,WHU,FWD,7,1,0,27,0,0,0,0,0,0,0
Mamadou Obbi Oularé,WAT,FWD,2,0,0,7,0,0,0,0,0,0,0
Mamadou Sakho,LIV,DEF,65,1,0,1854,0,1,0,0,0,7,5
Mame Biram Diouf,STK,FWD,68,5,1,1278,0,3,0,0,0,10,1
Manu García,MCI,MID,1,0,0,11,0,0,0,0,0,0,0
Manuel Lanzini,WHU,MID,100,6,3,1910,0,3,0,0,0,14,4
Marc Albrighton,LEI,MID,117,2,7,2750,0,4,0,0,0,4,16
Marc Muniesa,STK,DEF,23,0,0,1114,0,2,0,0,0,2,1
Marc Pugh,BOU,MID,66,3,4,1337,0,1,0,0,0,1,3
Marc Wilson,STK,DEF,4,0,0,261,0,0,0,0,0,0,0
Marcin Wasilewski,LEI,DEF,3,0,0,303,0,2,0,0,0,0,0
Marco Van Ginkel,STK,MID,23,0,0,755,0,0,0,0,0,0,0
Marcos Rojo,MUN,DEF,65,0,1,1249,0,3,0,0,0,5,8
Marcus Rashford,MUN,FWD,55,5,2,855,0,0,0,0,0,8,6
Mario Suárez,WAT,MID,19,0,0,749,0,2,0,0,0,0,0
Mark Noble,WHU,MID,133,7,4,3196,1,7,0,0,0,11,11
Marko Arnautovic,STK,MID,165,11,6,2808,0,2,0,0,0,18,11
Marouane Fellaini,MUN,MID,44,1,2,1068,0,2,0,0,0,2,5
Martin,NOR,DEF,71,3,0,2697,1,4,0,0,0,2,4
Martin Kelly,CRY,DEF,29,0,0,1044,0,3,0,0,0,0,
Martin Olsson,NOR,DEF,54,1,2,1775,0,2,0,0,0,0,3
Marvin Emnes,SWA,FWD,2,0,0,66,0,0,0,0,0,0,0
Massadio Haidara,NEW,DEF,17,0,1,555,0,1,0,0,0,2,1
Mathieu Debuchy,ARS,DEF,3,0,0,142,0,0,0,0,0,0,0
Mathieu Flamini,ARS,MID,29,0,0,1089,0,3,0,0,0,0,5
